t,dt,accepted,err_est,y_norm_ratio,step_ratio
0.0000000000000000e+00,1.0000000000000000e-02,0,2.6749785397188180e-06,1.0000000000000000e+00,9.8785109904016954e-01
3.0093248774920112e-03,3.0093248774920112e-03,1,7.5651744426453990e-08,9.9629571445975851e-01,9.9629571445975851e-01
5.9817113027735395e-03,2.9723864252815288e-03,1,7.2610769493342015e-08,9.9267827625000438e-01,9.9636911194412225e-01
8.9580391354137246e-03,2.9763278326401855e-03,1,7.2598848418319151e-08,9.8909591414068121e-01,9.9639121536651720e-01
1.1938476717885890e-02,2.9804375824721641e-03,1,7.2598529447456536e-08,9.8554729756125325e-01,9.9641226242198067e-01
1.4923034095980678e-02,2.9845573780947886e-03,1,7.2598258048764834e-08,9.8203132024352824e-01,9.9643246211883962e-01
1.7911720688660683e-02,2.9886865926800066e-03,1,7.2597987998367525e-08,9.7854690662349209e-01,9.9645183045773722e-01
2.0904545919704292e-02,2.9928252310436076e-03,1,7.2597720373837213e-08,9.7509301049106145e-01,9.9647038265712939e-01
2.3901519202842354e-02,2.9969732831380616e-03,1,7.2597454350616984e-08,9.7166861442608188e-01,9.9648813392349622e-01
2.6902649953002351e-02,3.0011307501599986e-03,1,7.2597189683602766e-08,9.6827272920908614e-01,9.9650509940675458e-01
2.9907947589634915e-02,3.0052976366325640e-03,1,7.2596926087126148e-08,9.6490439324704458e-01,9.9652129419694280e-01
3.2917421540623923e-02,3.0094739509890075e-03,1,7.2596664780148430e-08,9.6156267200426404e-01,9.9653673331143711e-01
3.5931081225403484e-02,3.0136596847795596e-03,1,7.2596403411428681e-08,9.5824665746209570e-01,9.9655143170724747e-01
3.8948936087428485e-02,3.0178548620249973e-03,1,7.2596144021274400e-08,9.5495546753002514e-01,9.9656540421357975e-01
4.1970995565934095e-02,3.0220594785056133e-03,1,7.2595884943077285e-08,9.5168824553014808e-01,9.9657866559125763e-01
4.4997269119007276e-02,3.0262735530731818e-03,1,7.2595626616199863e-08,9.4844415963157447e-01,9.9659123046458731e-01
4.8027766217514999e-02,3.0304970985077237e-03,1,7.2595369256059659e-08,9.4522240232340160e-01,9.9660311334572993e-01
5.1062496342110339e-02,3.0347301245953373e-03,1,7.2595112182899168e-08,9.4202218989069564e-01,9.9661432862272448e-01
5.4101468992708644e-02,3.0389726505983053e-03,1,7.2594855399715046e-08,9.3884276188404103e-01,9.9662489053785075e-01
5.7144693688489512e-02,3.0432246957808645e-03,1,7.2594599216096062e-08,9.3568338060616540e-01,9.9663481319115088e-01
6.0192179963608303e-02,3.0474862751187939e-03,1,7.2594343052732706e-08,9.3254333060988037e-01,9.9664411053849145e-01
6.3243937375333362e-02,3.0517574117250538e-03,1,7.2594086838544607e-08,9.2942191819016529e-01,9.9665279637175286e-01
6.6299975505108397e-02,3.0560381297750293e-03,1,7.2593830814518450e-08,9.2631847089086028e-01,9.9666088432113986e-01
6.9360303955236888e-02,3.0603284501284854e-03,1,7.2593574446954495e-08,9.2323233702295548e-01,9.9666838785484135e-01
7.2424932356444288e-02,3.0646284012074061e-03,1,7.2593318177162813e-08,9.2016288517909062e-01,9.9667532026254346e-01
7.5493870361753562e-02,3.0689380053092689e-03,1,7.2593061403935034e-08,9.1710950376920153e-01,9.9668169466616252e-01
7.8567127655028920e-02,3.0732572932753647e-03,1,7.2592803978343707e-08,9.1407160054877401e-01,9.9668752400019622e-01
8.1644713953188244e-02,3.0775862981593264e-03,1,7.2592546616505203e-08,9.1104860216096240e-01,9.9669282101533763e-01
8.4726638996188819e-02,3.0819250430005785e-03,1,7.2592288415635062e-08,9.0803995369803903e-01,9.9669759828862359e-01
8.7812912559884632e-02,3.0862735636958171e-03,1,7.2592029480791047e-08,9.0504511824773859e-01,9.9670186819632356e-01
9.0903544454671262e-02,3.0906318947866254e-03,1,7.2591769812886483e-08,9.0206357646110635e-01,9.9670564292705666e-01
9.3998544525600858e-02,3.0950000709296000e-03,1,7.2591509362529610e-08,8.9909482612626734e-01,9.9670893447833719e-01
9.7097922653213597e-02,3.0993781276127449e-03,1,7.2591248113795678e-08,8.9613838174889981e-01,9.9671175465428341e-01
1.0020168875389762e-01,3.1037661006840284e-03,1,7.2590985651352828e-08,8.9319377414053824e-01,9.9671411506489116e-01
1.0330985278595173e-01,3.1081640320541068e-03,1,7.2590722495384468e-08,8.9026055000886217e-01,9.9671602711908891e-01
1.0642242474231962e-01,3.1125719563679026e-03,1,7.2590458026594370e-08,8.8733827156796696e-01,9.9671750203817744e-01
1.0953941465958165e-01,3.1169899172620269e-03,1,7.2590192465958845e-08,8.8442651614055567e-01,9.9671855083826588e-01
1.1266083261496601e-01,3.1214179553843602e-03,1,7.2589925678696302e-08,8.8152487577874461e-01,9.9671918434278373e-01
1.1578668872844486e-01,3.1258561134788468e-03,1,7.2589657621450488e-08,8.7863295688729737e-01,9.9671941317720336e-01
1.1891699316353070e-01,3.1303044350858397e-03,1,7.2589388023908902e-08,8.7575037985526294e-01,9.9671924777071141e-01
1.2205175613134507e-01,3.1347629678143761e-03,1,7.2589117435800255e-08,8.7287677869175362e-01,9.9671869835330895e-01
1.2519098788289454e-01,3.1392317515494669e-03,1,7.2588844905488404e-08,8.7001180067960626e-01,9.9671777496883207e-01
1.2833469872296488e-01,3.1437108400703393e-03,1,7.2588571278873086e-08,8.6715510601624690e-01,9.9671648745324148e-01
1.3148289899812765e-01,3.1482002751627818e-03,1,7.2588295870268979e-08,8.6430636748518874e-01,9.9671484546271616e-01
1.3463559910683395e-01,3.1527001087063148e-03,1,7.2588018881255077e-08,8.6146527011424723e-01,9.9671285845179181e-01
1.3779280949671624e-01,3.1572103898822833e-03,1,7.2587740260819759e-08,8.5863151085223133e-01,9.9671053568806078e-01
1.4095454066553761e-01,3.1617311688213840e-03,1,7.2587459948487428e-08,8.5580479824903610e-01,9.9670788624984230e-01
1.4412080316228520e-01,3.1662624967475983e-03,1,7.2587177855534425e-08,8.5298485214227204e-01,9.9670491902764080e-01
1.4729160758868209e-01,3.1708044263968754e-03,1,7.2586894095506193e-08,8.5017140335010488e-01,9.9670164272542339e-01
1.5046696459776013e-01,3.1753570090780432e-03,1,7.2586608370220467e-08,8.4736419337321012e-01,9.9669806586550314e-01
1.5364688489843456e-01,3.1799203006744239e-03,1,7.2586320766267570e-08,8.4456297409781511e-01,9.9669419678421411e-01
1.5683137925448395e-01,3.1844943560494056e-03,1,7.2586031252357670e-08,8.4176750751005591e-01,9.9669004363973523e-01
1.6002045848524887e-01,3.1890792307649094e-03,1,7.2585740081670317e-08,8.3897756541503876e-01,9.9668561441238113e-01
1.6321413346216268e-01,3.1936749769138047e-03,1,7.2585446684867048e-08,8.3619292916569188e-01,9.9668091691108651e-01
1.6641241511733765e-01,3.1982816551749745e-03,1,7.2585151268190817e-08,8.3341338938715392e-01,9.9667595876311554e-01
1.6961531444080477e-01,3.2028993234671298e-03,1,7.2584853976505567e-08,8.3063874571709218e-01,9.9667074742811357e-01
1.7282284247863713e-01,3.2075280378323547e-03,1,7.2584554403173371e-08,8.2786880655108697e-01,9.9666529019951522e-01
1.7603501033919450e-01,3.2121678605573625e-03,1,7.2584253058115104e-08,8.2510338878679612e-01,9.9665959419849182e-01
1.7925182918587262e-01,3.2168188466781193e-03,1,7.2583949328588165e-08,8.2234231758547782e-01,9.9665366639036834e-01
