t,dt,accepted,err_est,y_norm_ratio,step_ratio
0.0000000000000000e+00,1.0000000000000000e-02,0,8.6799190307671958e-05,1.0000000000000000e+00,8.0275812715184680e-01
0.0000000000000000e+00,2.3256233254218247e-03,0,1.2372730386386367e-07,1.0000000000000000e+00,9.4632457805348713e-01
2.0058052985876059e-03,2.0058052985876059e-03,1,6.1072626961334617e-08,9.5329932912407012e-01,9.5329932912407012e-01
3.9981384591653221e-03,1.9923331605777163e-03,1,5.6738310479029466e-08,9.1151101903938125e-01,9.5616454474683665e-01
6.0064412556526158e-03,2.0083027964872937e-03,1,5.6608001510134291e-08,8.7272422873355970e-01,9.5744780974047028e-01
8.0317728513882840e-03,2.0253315957356687e-03,1,5.6594068450324503e-08,8.3621089518647063e-01,9.5816165938228293e-01
1.0074378197098601e-02,2.0426053457103170e-03,1,5.6576442004544178e-08,8.0152897901334108e-01,9.5852491713182519e-01
1.2134532962666549e-02,2.0601547655679478e-03,1,5.6556065604452933e-08,7.6839251363759409e-01,9.5865843126902661e-01
1.4212537630305935e-02,2.0780046676393861e-03,1,5.6534942520572266e-08,7.3660953980259802e-01,9.5863705948339550e-01
1.6308703460305163e-02,2.0961658299992270e-03,1,5.6513775461065540e-08,7.0604666070730038e-01,9.5850871127261239e-01
1.8423347547082653e-02,2.1146440867774899e-03,1,5.6492671740387608e-08,6.7660797092963743e-01,9.5830489482356318e-01
2.0556792141963161e-02,2.1334445948805090e-03,1,5.6471523319674894e-08,6.4822211143847230e-01,9.5804681483109955e-01
2.2709365583495924e-02,2.1525734415327618e-03,1,5.6450174592547856e-08,6.2083407386923406e-01,9.5774899207239117e-01
2.4881403634429297e-02,2.1720380509333732e-03,1,5.6428480819184054e-08,5.9439987965159946e-01,9.5742148292072893e-01
2.7073250794220741e-02,2.1918471597914429e-03,1,5.6406332637098633e-08,5.6888305862880229e-01,9.5707128837617950e-01
2.9285261393180915e-02,2.2120105989601735e-03,1,5.6383650362671521e-08,5.4425228846548623e-01,9.5670328059569143e-01
3.1517800500526910e-02,2.2325391073459953e-03,1,5.6360382254999837e-08,5.2047979971665981e-01,9.5632082904813742e-01
3.3771244649160884e-02,2.2534441486339722e-03,1,5.6336495039666716e-08,4.9754029509170672e-01,9.5592623452929204e-01
3.6045982442706861e-02,2.2747377935459761e-03,1,5.6311968950471689e-08,4.7541021740221345e-01,9.5552103436081648e-01
3.8342415078044513e-02,2.2964326353376511e-03,1,5.6286792532242105e-08,4.5406725554307276e-01,9.5510621968588483e-01
4.0660956820873895e-02,2.3185417428293804e-03,1,5.6260959316750558e-08,4.3349001318635372e-01,9.5468239097728314e-01
4.3002035458905609e-02,2.3410786380317168e-03,1,5.6234464922110462e-08,4.1365778857985452e-01,9.5424986965507441e-01
