Bmult,T,method,ordering,err_dtmin,p_est,max_norm_ratio,final_norm_ratio,max_step_ratio,status
50,0.5,Strang-3,ABC,1.4764839669036195e-07,1.9981453,1.0000000000000000e+00,1.4439206103933769e-03,1.0000000000000000e+00,ok
50,0.5,Strang-3,ACB,1.6587305190660016e-07,1.9979118,1.0000000000000000e+00,1.4439087394358698e-03,1.0000000000000000e+00,ok
50,0.5,Strang-3,BAC,4.8272089810420387e-08,1.9961749,1.0000000000000000e+00,1.4441025830451409e-03,1.0000000000000000e+00,ok
50,0.5,Strang-3,BCA,4.8165295513533179e-08,1.9961783,1.0000000000000000e+00,1.4441024303541998e-03,1.0000000000000000e+00,ok
50,0.5,Strang-3,CAB,1.6600676555060120e-07,1.9979207,1.0000000000000000e+00,1.4439085865513043e-03,1.0000000000000000e+00,ok
50,0.5,Strang-3,CBA,5.7476338965810200e-08,1.9964429,1.0000000000000000e+00,1.4441179737633911e-03,1.0000000000000000e+00,ok
50,0.5,Yoshida-3,ABC,2.7732818508843778e-11,3.9641522,1.0000000000000000e+00,1.4440623168190140e-03,1.0000000000000000e+00,ok
50,0.5,Yoshida-3,ACB,6.4105202606494468e-11,4.0340423,1.0000000000000000e+00,1.4440622404552367e-03,1.0000000000000000e+00,ok
50,0.5,Yoshida-3,BAC,4.1044347809137241e-11,4.0018504,1.0000000000000000e+00,1.4440622568439698e-03,1.0000000000000000e+00,ok
50,0.5,Yoshida-3,BCA,4.1166746942866597e-11,4.0018306,1.0000000000000000e+00,1.4440622567278405e-03,1.0000000000000000e+00,ok
50,0.5,Yoshida-3,CAB,6.3132452129259249e-11,4.0344684,1.0000000000000000e+00,1.4440622413498375e-03,1.0000000000000000e+00,ok
50,0.5,Yoshida-3,CBA,1.2497225234770514e-11,4.004076,1.0000000000000000e+00,1.4440623002069102e-03,1.0000000000000000e+00,ok
