eps,dt,L2_xv_error,observed_order_vs_prev
1,4.1666666666666669e-04,2.1326989667813160e-08,
1,2.0833333333333335e-04,5.3315843830354124e-09,2.000
1,1.0416666666666667e-04,1.3327951839886161e-09,2.000
1,5.2083333333333337e-05,3.3310574659498017e-10,2.000
0.01,4.1666666666666669e-04,1.1421660763707455e-07,
0.01,2.0833333333333335e-04,2.8654775026061495e-08,1.995
0.01,1.0416666666666667e-04,7.1760286643638963e-09,1.998
0.01,5.2083333333333337e-05,1.7952627733837175e-09,1.999
1e-06,4.1666666666666669e-04,1.8803889355953878e-07,
1e-06,2.0833333333333335e-04,1.9139340597464247e-07,-0.026
1e-06,1.0416666666666667e-04,1.9227499399463510e-07,-0.007
1e-06,5.2083333333333337e-05,1.9249776009213806e-07,-0.002
1e-10,4.1666666666666669e-04,1.0845915271277010e-08,
1e-10,2.0833333333333335e-04,2.7110384238303129e-09,2.000
1e-10,1.0416666666666667e-04,6.7768565469194341e-10,2.000
1e-10,5.2083333333333337e-05,1.6952671349164492e-10,1.999
